"release_date","revenue","title","collection_name","main_genre","release_year","main_genre_name","rank"
"1980-12-04",190458706,"Superman II","Superman Collection",1,"1980","Action",2
"1980-07-02",83453539,"Airplane!","Airplane Collection",4,"1980","Comedy",5
"1980-07-05",58853106,"The Blue Lagoon","The Blue Lagoon collection",15,"1980","Romance",11
"1980-07-25",39846344,"Caddyshack","Caddyshack Collection",4,"1980","Comedy",15
"1980-12-17",70687344,"Any Which Way You Can","Philo & Clyde Collection",1,"1980","Action",6
"1980-06-20",37121708,"Brubaker","",5,"1980","Crime",16
"1980-07-18",41675194,"Cheech & Chong's Next Movie","Cheech & Chong Collection",1,"1980","Action",14
"1980-03-07",67182787,"Coal Miner's Daughter","",7,"1980","Drama",7
"1980-06-25",31899000,"Dressed to Kill","",12,"1980","Horror",17
"1980-09-01",27107960,"Flash Gordon","",16,"1980","Science Fiction",18
"1980-12-19",43995918,"Seems Like Old Times","",4,"1980","Comedy",13
"1980-08-15",66132626,"Smokey and the Bandit II","Smokey and the Bandit Collection",1,"1980","Action",8
"1980-12-12",101300000,"Stir Crazy","",4,"1980","Comedy",4
"1978-01-01",41590893,"Up in Smoke","Cheech & Chong Collection",4,"1978","Comedy",11
"1978-12-08",5e+07,"The Deer Hunter","",7,"1978","Drama",8
"1978-07-07",181813770,"Grease","Grease Collection",15,"1978","Romance",3
"1978-06-16",187884007,"Jaws 2","The Jaws Collection",12,"1978","Horror",2
"1978-10-25",7e+07,"Halloween","Halloween Collection",12,"1978","Horror",6
"1978-11-15",30471420,"The Lord of the Rings","The Lord of the Rings Animated Collection",9,"1978","Fantasy",13
"1978-12-13",300218018,"Superman","Superman Collection",1,"1978","Action",1
"1978-06-09",26518355,"Damien: Omen II","The Omen Collection",1,"1978","Action",15
"1978-07-27",1.41e+08,"Animal House","",4,"1978","Comedy",4
"1978-09-12",3.5e+07,"Midnight Express","",7,"1978","Drama",12
"1978-03-10",2.4e+07,"The Fury","",12,"1978","Horror",17.5
"1978-05-10",4.5e+07,"The End","",4,"1978","Comedy",10
"1978-10-24",21049053,"The Wiz","",2,"1978","Adventure",20
"1978-06-27",22765081,"Convoy","",1,"1978","Action",19
"1978-12-19",24046533,"Invasion of the Body Snatchers","",12,"1978","Horror",16
"1978-09-02",5.5e+07,"Dawn of the Dead","Living Dead Collection",12,"1978","Horror",7
"1978-07-28",7.8e+07,"Hooper","",1,"1978","Action",5
"1978-07-19",49579269,"Revenge of the Pink Panther","The Pink Panther (Original) Collection",1,"1978","Action",9
"1978-05-26",2.4e+07,"An Unmarried Woman","",7,"1978","Drama",17.5
"1978-03-15",28460702,"House Calls","",4,"1978","Comedy",14
"1966-12-23",6e+06,"The Good, the Bad and the Ugly","The Man With No Name Collection",20,"1966","Western",9.5
"1966-12-12",28350000,"A Man for All Seasons","",7,"1966","Drama",3
"1966-06-21",33736689,"Who's Afraid of Virginia Woolf?","",7,"1966","Drama",2
"1966-07-13",1.3e+07,"Torn Curtain","",14,"1966","Mystery",6
"1966-12-17",6e+06,"El Dorado","",20,"1966","Western",9.5
"1966-08-24",1.2e+07,"Fantastic Voyage","",2,"1966","Adventure",7.5
